iter	Passed	Remaining
0	1	108
1	2	104
2	3	102
3	4	100
4	5	98
5	6	97
6	7	93
7	7	91
8	9	91
9	9	89
10	10	87
11	11	87
12	12	85
13	13	84
14	14	83
15	15	82
16	16	80
17	17	79
18	18	79
19	19	78
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	25	71
26	26	70
27	26	69
28	27	68
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	51	39
57	53	38
58	54	37
59	54	36
60	56	35
61	56	34
62	57	33
63	58	32
64	59	31
65	59	30
66	60	29
67	61	28
68	61	27
69	62	26
70	63	25
71	64	24
72	64	23
73	65	23
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	70	17
80	70	16
81	71	15
82	72	14
83	73	13
84	73	13
85	74	12
86	75	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	5
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	83	0
99	84	0
