iter	Passed	Remaining
0	1	1417
1	2	1226
2	3	1145
3	4	1123
4	8	1639
5	10	1730
6	11	1584
7	12	1512
8	13	1452
9	13	1384
10	14	1318
11	15	1294
12	16	1271
13	17	1242
14	18	1213
15	21	1317
16	24	1391
17	25	1413
18	26	1393
19	27	1370
20	28	1348
21	29	1323
22	30	1299
23	31	1290
24	32	1281
25	36	1377
26	38	1391
27	39	1380
28	40	1360
29	41	1339
30	42	1322
31	43	1319
32	44	1301
33	45	1283
34	45	1265
35	46	1249
36	48	1270
37	50	1289
38	51	1280
39	52	1270
40	53	1252
41	54	1239
42	55	1230
43	56	1223
44	57	1212
45	57	1202
46	58	1190
47	60	1204
48	62	1215
49	64	1225
50	65	1225
51	66	1218
52	67	1209
53	68	1201
54	69	1197
55	70	1187
56	71	1179
57	72	1172
58	75	1201
59	77	1221
60	79	1223
61	80	1215
62	81	1204
63	81	1198
64	83	1194
65	83	1186
66	84	1179
67	85	1171
68	86	1162
69	89	1185
70	90	1190
71	92	1186
72	93	1188
73	94	1178
74	95	1172
75	95	1166
76	96	1157
77	97	1148
78	97	1141
79	98	1136
80	99	1129
81	101	1140
82	103	1144
83	105	1149
84	106	1148
85	107	1143
86	108	1137
87	109	1132
88	110	1128
89	111	1126
90	112	1122
91	113	1119
92	115	1122
93	117	1128
94	119	1134
95	119	1128
96	120	1123
97	121	1118
98	122	1115
99	123	1111
100	124	1104
101	124	1097
102	125	1093
103	126	1090
104	128	1095
105	131	1111
106	132	1108
107	133	1105
108	134	1098
109	135	1096
110	136	1094
111	137	1089
112	138	1083
113	138	1076
114	139	1073
115	142	1082
116	143	1081
117	144	1082
118	146	1080
119	147	1078
120	148	1076
121	148	1072
122	149	1064
123	150	1060
124	150	1056
125	151	1052
126	152	1050
127	154	1054
128	157	1064
129	159	1069
130	161	1068
131	162	1070
132	164	1070
133	165	1070
134	167	1075
135	168	1073
136	171	1081
137	173	1082
138	173	1077
139	175	1075
140	176	1073
141	177	1070
142	177	1066
143	178	1061
144	179	1057
145	180	1056
146	182	1058
147	185	1069
148	186	1064
149	187	1064
150	189	1062
151	189	1059
152	190	1056
153	191	1053
154	192	1051
155	194	1050
156	196	1053
157	199	1063
158	201	1064
159	201	1059
160	202	1056
161	203	1052
162	204	1049
163	205	1048
164	208	1053
165	209	1050
166	211	1054
167	213	1057
168	215	1058
169	216	1056
170	217	1054
171	218	1052
172	219	1049
173	220	1048
174	223	1054
175	225	1055
176	227	1056
177	228	1054
178	229	1051
179	230	1048
180	230	1042
181	231	1039
182	232	1036
183	232	1032
184	233	1028
185	234	1024
186	234	1020
187	236	1019
188	237	1019
189	240	1024
190	241	1021
191	242	1018
192	242	1014
193	243	1011
194	244	1008
195	244	1004
196	245	1000
197	246	997
198	246	993
199	247	989
200	248	986
201	249	984
202	250	982
203	251	983
204	253	983
205	254	980
206	256	983
207	257	980
208	258	976
209	258	972
210	259	969
211	259	966
212	260	962
213	261	962
214	263	961
215	265	963
216	266	961
217	267	958
218	268	956
219	268	953
220	269	949
221	270	946
222	270	942
223	271	939
224	271	936
225	272	933
226	273	929
227	273	926
228	274	923
229	281	942
230	282	939
231	282	936
232	283	933
233	284	930
234	284	927
235	285	924
236	286	921
237	286	918
238	287	914
239	288	912
240	288	909
241	289	906
242	290	905
243	292	906
244	294	907
245	295	904
246	295	902
247	296	899
248	297	896
249	298	894
250	298	891
251	299	888
252	299	885
253	300	882
254	301	880
255	301	877
256	302	874
257	303	873
258	305	872
259	308	877
260	309	875
261	310	873
262	310	871
263	311	869
264	312	866
265	313	864
266	313	861
267	314	859
268	315	856
269	315	853
270	317	853
271	318	851
272	322	858
273	323	857
274	324	855
275	325	853
276	326	852
277	327	850
278	328	848
279	329	847
280	330	846
281	332	846
282	335	848
283	336	848
284	337	847
285	338	845
286	339	843
287	340	841
288	341	839
289	342	838
290	343	835
291	344	834
292	345	832
293	346	830
294	347	830
295	348	829
296	350	830
297	351	828
298	352	826
299	353	824
300	353	821
301	354	819
302	355	817
303	356	815
304	356	812
305	357	810
306	358	810
307	360	809
308	363	811
309	363	810
310	364	808
311	365	805
312	366	803
313	366	801
314	367	799
315	368	797
316	368	794
317	369	792
318	370	790
319	370	787
320	371	785
321	372	784
322	373	782
323	374	781
324	375	780
325	376	778
326	378	778
327	379	777
328	380	775
